name,CMC,Type,Color,Set,Collector Number,Rarity,Color Category,status,Finish,maybeboard,image URL,image Back URL,tags,Notes,MTGO ID
"Arcbound Mouser",1,"Artifact Creature - Cat",W,"mh2","3",common,w,Owned,,false,,,"wu-artifacts","",90375
"Hunted Witness",1,"Creature - Human",W,"grn","15",common,w,Owned,,false,,,"xgeneric","",69403
"Mikaeus, the Lunarch",1,"Legendary Creature - Human Cleric",W,"v11","6",mythic,w,Owned,,false,,,"gw-1/1counters","",42255
"Ollenbock Escort",1,"Creature - Human Cleric",W,"vow","27",uncommon,w,Owned,,false,,,"gw-1/1counters","",94346
"Arcbound Prototype",2,"Artifact Creature - Assembly-Worker",W,"mh2","4",common,w,Owned,,false,,,"wu-artifacts","",90377
"Ironpaw Aspirant",2,"Creature - Cat Warrior",W,"lci","18",common,w,Owned,,false,,,"gw-1/1counters","",117814
"Lion Sash",2,"Artifact Creature - Equipment Cat",W,"neo","26",rare,w,Ordered,,false,,,"rw-equipments","",96962
"Phelia, Exuberant Shepherd",2,"Legendary Creature - Dog",W,"mh3","364",rare,w,Owned,,false,,,"xgeneric","",125723
"Puresteel Paladin",2,"Creature - Human Knight",W,"nph","20",rare,w,Owned,,false,,,"rw-equipments","",39886
"Aerial Responder",3,"Creature - Dwarf Soldier",W,"kld","2",uncommon,w,Owned,,false,,,"xgeneric","",61889
"Danitha Capashen, Paragon",3,"Legendary Creature - Human Knight",W,"dom","12",uncommon,w,Owned,,false,,,"rw-equipments","",67489
"Digsite Engineer",3,"Creature - Dwarf Artificer",W,"c21","15",rare,w,Owned,,false,,,"wu-artifacts","",89773
"Knighted Myr",3,"Artifact Creature - Myr Knight",W,"mh2","17",common,w,Owned,,false,,,"wu-artifacts","",90403
"Marble Gargoyle",3,"Artifact Creature - Gargoyle",W,"mh2","21",common,w,Owned,,false,,,"wu-artifacts","",90411
"Aerie Auxiliary",4,"Creature - Bird Soldier",W,"mh3","18",common,w,Owned,,false,,,"gw-1/1counters","",126053
"Armored Skyhunter",4,"Creature - Cat Knight",W,"cmr","11",rare,w,Owned,,false,,,"rw-equipments","",84804
"Balan, Wandering Knight",4,"Legendary Creature - Cat Knight",W,"c17","2",rare,w,Owned,,false,,,"rw-equipments","",73776
"Celebrity Fencer",4,"Creature - Elf Druid",W,"snc","7",common,w,Owned,,false,,,"gw-1/1counters","",98233
"Gavony Silversmith",4,"Creature - Human Soldier",W,"mid","21",common,w,Owned,,false,,,"gw-1/1counters","",92968
"Serra Paragon",4,"Creature - Angel",W,"dmu","32",mythic,w,Owned,,false,,,"wb-reanimator","",102540
"Constable of the Realm",5,"Creature - Giant Soldier",W,"mh2","10",uncommon,w,Owned,,false,,,"gw-1/1counters","",90389
"Danitha, Benalia's Hope",5,"Legendary Creature - Human Knight",W,"dmu","15",rare,w,Owned,,false,,,"rw-equipments","",102506
"Karmic Guide",5,"Creature - Angel Spirit",W,"ulg","11",rare,w,Owned,,false,,,"wb-reanimator","",12601
"Patron of the Valiant",5,"Creature - Angel",W,"ori","28",uncommon,w,Owned,,false,,,"gw-1/1counters","",57834
"Reveillark",5,"Creature - Elemental",W,"mor","22",rare,w,Owned,,false,,,"wb-reanimator","",29048
"Heavenly Blademaster",6,"Creature - Angel",W,"c18","3",rare,w,Owned,,false,,,"rw-equipments","",
"Sun Titan",6,"Creature - Giant",W,"m11","35",mythic,w,Owned,,false,,,"wb-reanimator","",37406
"Sunblade Angel",6,"Creature - Angel",W,"war","31",uncommon,w,Owned,,false,,,"xgeneric","",71668
"Reya Dawnbringer",9,"Legendary Creature - Angel",W,"inv","33",rare,w,Owned,,false,,,"wb-reanimator","",14355
